individuals,individual0,individual0,individual0,individual0,individual0,individual0,individual0,individual0,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual5,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual6,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual7,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual8,individual9,individual9,individual9,individual9,individual9,individual9,individual9,individual9,individual10,individual10,individual10,individual10,individual10,individual10,individual10,individual10,individual11,individual11,individual11,individual11,individual11,individual11,individual11,individual11,individual12,individual12,individual12,individual12,individual12,individual12,individual12,individual12,individual13,individual13,individual13,individual13,individual13,individual13,individual13,individual13,individual14,individual14,individual14,individual14,individual14,individual14,individual14,individual14,individual15,individual15,individual15,individual15,individual15,individual15,individual15,individual15,individual16,individual16,individual16,individual16,individual16,individual16,individual16,individual16,individual17,individual17,individual17,individual17,individual17,individual17,individual17,individual17,individual18,individual18,individual18,individual18,individual18,individual18,individual18,individual18,individual19,individual19,individual19,individual19,individual19,individual19,individual19,individual19,individual20,individual20,individual20,individual20,individual20,individual20,individual20,individual20,individual21,individual21,individual21,individual21,individual21,individual21,individual21,individual21,individual22,individual22,individual22,individual22,individual22,individual22,individual22,individual22,individual23,individual23,individual23,individual23,individual23,individual23,individual23,individual23,individual24,individual24,individual24,individual24,individual24,individual24,individual24,individual24,individual25,individual25,individual25,individual25,individual25,individual25,individual25,individual25,individual26,individual26,individual26,individual26,individual26,individual26,individual26,individual26,individual27,individual27,individual27,individual27,individual27,individual27,individual27,individual27,individual28,individual28,individual28,individual28,individual28,individual28,individual28,individual28,individual29,individual29,individual29,individual29,individual29,individual29,individual29,individual29,individual30,individual30,individual30,individual30,individual30,individual30,individual30,individual30,individual31,individual31,individual31,individual31,individual31,individual31,individual31,individual31,individual32,individual32,individual32,individual32,individual32,individual32,individual32,individual32,individual33,individual33,individual33,individual33,individual33,individual33,individual33,individual33,individual34,individual34,individual34,individual34,individual34,individual34,individual34,individual34,individual35,individual35,individual35,individual35,individual35,individual35,individual35,individual35,individual36,individual36,individual36,individual36,individual36,individual36,individual36,individual36,individual37,individual37,individual37,individual37,individual37,individual37,individual37,individual37,individual38,individual38,individual38,individual38,individual38,individual38,individual38,individual38,individual39,individual39,individual39,individual39,individual39,individual39,individual39,individual39,individual40,individual40,individual40,individual40,individual40,individual40,individual40,individual40,individual41,individual41,individual41,individual41,individual41,individual41,individual41,individual41,individual42,individual42,individual42,individual42,individual42,individual42,individual42,individual42,individual43,individual43,individual43,individual43,individual43,individual43,individual43,individual43,individual44,individual44,individual44,individual44,individual44,individual44,individual44,individual44,individual45,individual45,individual45,individual45,individual45,individual45,individual45,individual45,individual46,individual46,individual46,individual46,individual46,individual46,individual46,individual46,individual47,individual47,individual47,individual47,individual47,individual47,individual47,individual47,individual48,individual48,individual48,individual48,individual48,individual48,individual48,individual48,individual49,individual49,individual49,individual49,individual49,individual49,individual49,individual49,individual50,individual50,individual50,individual50,individual50,individual50,individual50,individual50,individual51,individual51,individual51,individual51,individual51,individual51,individual51,individual51,individual52,individual52,individual52,individual52,individual52,individual52,individual52,individual52,individual53,individual53,individual53,individual53,individual53,individual53,individual53,individual53,individual54,individual54,individual54,individual54,individual54,individual54,individual54,individual54,individual55,individual55,individual55,individual55,individual55,individual55,individual55,individual55,individual56,individual56,individual56,individual56,individual56,individual56,individual56,individual56,individual57,individual57,individual57,individual57,individual57,individual57,individual57,individual57,individual58,individual58,individual58,individual58,individual58,individual58,individual58,individual58,individual59,individual59,individual59,individual59,individual59,individual59,individual59,individual59,individual60,individual60,individual60,individual60,individual60,individual60,individual60,individual60,individual61,individual61,individual61,individual61,individual61,individual61,individual61,individual61,individual62,individual62,individual62,individual62,individual62,individual62,individual62,individual62,individual63,individual63,individual63,individual63,individual63,individual63,individual63,individual63
ROIs,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box,centroid,centroid,centroid,centroid,box,box,box,box
coords,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y,x,x,y,y
number,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
frames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1507.5615763546798,,1239.615763546798,,1594.0,1420.0,1326.0,1152.0,1688.3076923076924,,1712.7932692307693,,1775.0,1601.0,1799.0,1625.0,1739.762312633833,,1279.6745182012849,,1826.0,1652.0,1366.0,1192.0,1759.329918032787,,1062.905737704918,,1846.0,1672.0,1149.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1508.1225961538462,,1240.7235576923076,,1595.0,1421.0,1327.0,1153.0,1687.8397129186603,,1713.5191387559807,,1774.0,1600.0,1800.0,1626.0,1741.4081196581196,,1280.9957264957266,,1828.0,1654.0,1367.0,1193.0,1759.247950819672,,1061.9262295081967,,1846.0,1672.0,1148.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1508.8058252427184,,1242.3398058252428,,1595.0,1421.0,1329.0,1155.0,1687.1407766990292,,1714.1820388349515,,1774.0,1600.0,1801.0,1627.0,1743.1397849462367,,1282.3096774193548,,1830.0,1656.0,1369.0,1195.0,1759.170781893004,,1061.125514403292,,1846.0,1672.0,1148.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1509.1658653846155,,1243.4711538461538,,1596.0,1422.0,1330.0,1156.0,1686.3922518159807,,1714.9685230024213,,1773.0,1599.0,1801.0,1627.0,1744.0195652173913,,1283.2695652173913,,1831.0,1657.0,1370.0,1196.0,1759.085062240664,,1060.585062240664,,1846.0,1672.0,1147.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1509.8,,1244.709756097561,,1596.0,1422.0,1331.0,1157.0,1685.5894988066825,,1715.5966587112173,,1772.0,1598.0,1802.0,1628.0,1745.482683982684,,1284.4112554112555,,1832.0,1658.0,1371.0,1197.0,1759.0041841004183,,1059.7468619246863,,1846.0,1672.0,1146.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1510.2850241545893,,1245.7512077294687,,1597.0,1423.0,1332.0,1158.0,1685.0541871921182,,1716.0221674876848,,1772.0,1598.0,1803.0,1629.0,1746.6030368763556,,1285.0108459869848,,1833.0,1659.0,1372.0,1198.0,1758.9916839916839,,1059.1829521829522,,1845.0,1671.0,1146.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
